
2024/06/19 (21:08:11) | ===> btop++ v.1.3.2
2024/06/19 (21:08:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:08:15) | ===> btop++ v.1.3.2
2024/06/19 (21:08:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:08:28) | ===> btop++ v.1.3.2
2024/06/19 (21:08:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (21:09:42) | ===> btop++ v.1.3.2
2024/06/19 (21:09:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/27 (23:49:19) | ===> btop++ v.1.3.2
2024/06/27 (23:49:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (14:12:54) | ===> btop++ v.1.3.2
2024/06/30 (14:12:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/30 (14:25:08) | ===> btop++ v.1.3.2
2024/06/30 (14:25:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
